,no,cm_id,type,tid,sort_id,theme_new,文本分词,label,预测结果
0,0,3,,555509,1,阅读器战况如图_我是刷还是不刷，估计2万拿不下礼品，好纠结刷还是不刷,阅读器 战况 如图 刷 不刷 估计 万 礼品 纠结 刷 不刷,20,还款
1,24,23,申卡,555510,1,来个027的卡员哈_话说，大家口中说的具体是指哪张卡呢？貌似是神卡，有哪些权益呢？没玩过,来个  卡员哈 话 说 口中 说 指 张卡 貌似 神卡 权益 没玩过,10,市场活动
2,32,35,,555511,1,交通喜欢分期吗？_分500块钱的，3期，交通爱分期吗？那个行喜欢分期，好久没提额了,喜欢 分  块钱 期 爱 行 喜欢 好久没 提额,0,APP
3,49,56,,555512,1,碰瓷白麒麟失败——碰瓷失败如图所示（？？？）是不是收到特约码概率会高些,碰瓷 白麒麟 失败 碰瓷 失败 如图所示 收到 特约 码 概率 会高些,20,还款
4,58,76,求助,555513,1,收到这种短信是不是代表要降额封卡的节奏？刚用大鸡刷完账单，就收到这个短信，一阵阴凉，……是准备降额或封卡吗？,收到 短 信 代表 降额 封卡 节奏 刚用 大鸡刷 完 账单 收到 短 信 一阵 阴凉 降额 封卡,20,还款
5,65,84,,555514,1,恶心的交行没有全积分兑换了吗——都是分期加积分。全积分是永远没有了还是跟姨妈一样会出来？,恶心 全 积分兑换 加积分 全积分 永远 姨妈,16,积分
